x,y,timestamp
985,441,1738407798.543985
1012,447,1738407798.5510798
1050,460,1738407798.5580273
1084,474,1738407798.5647027
1104,483,1738407798.571727
1130,494,1738407798.578743
1158,506,1738407798.585724
1183,515,1738407798.5928447
1212,531,1738407798.6001205
1233,541,1738407798.6072621
1254,553,1738407798.6138437
1269,559,1738407798.6208549
1289,570,1738407798.6278038
1308,579,1738407798.6348221
1327,586,1738407798.6417706
1345,593,1738407798.6492765
1357,597,1738407798.6563737
1371,605,1738407798.6631286
1382,609,1738407798.6699555
1387,612,1738407798.6766286
1395,615,1738407798.6840112
1402,616,1738407798.6910307
1409,616,1738407798.69797
1414,616,1738407798.7040613
1420,616,1738407798.7103734
1422,615,1738407798.7173872
1424,615,1738407798.7257106
1427,615,1738407798.733783
1427,614,1738407798.7392125
1427,614,1738407798.747051
1428,614,1738407798.7545063
1428,613,1738407798.7613888
1429,613,1738407798.7679179
1430,612,1738407798.78232
1430,612,1738407798.7963138
1431,612,1738407798.8029284
1431,612,1738407798.8098679
1432,611,1738407798.8170357
1432,610,1738407798.8239925
1433,609,1738407798.8309736
1434,608,1738407798.8384972
1436,606,1738407798.8446305
1438,602,1738407798.8523316
1442,596,1738407798.8592877
1445,590,1738407798.8665974
1450,581,1738407798.8738074
1456,570,1738407798.8804805
1460,564,1738407798.8874903
1465,554,1738407798.8944533
1469,546,1738407798.901483
1473,537,1738407798.9086118
1475,532,1738407798.915904
1477,527,1738407798.9230156
1478,526,1738407798.92959
1478,524,1738407798.9366078
1479,523,1738407798.9436414
1479,522,1738407798.9506958
1480,519,1738407798.9575286
1480,518,1738407798.9650404
1480,517,1738407798.9720957
1480,515,1738407798.9790747
1480,511,1738407798.9857368
1479,508,1738407798.992751
1477,500,1738407798.999765
1474,492,1738407799.0067382
1470,482,1738407799.0138545
1463,471,1738407799.0211751
1452,459,1738407799.0281856
1443,453,1738407799.0348265
1432,444,1738407799.041839
1411,433,1738407799.0488122
1386,422,1738407799.0558374
1373,418,1738407799.0627804
1352,412,1738407799.0704768
1340,410,1738407799.077485
1323,409,1738407799.0843601
1310,409,1738407799.090394
1299,410,1738407799.097413
1286,412,1738407799.105108
1275,415,1738407799.1120646
1268,417,1738407799.1194522
1259,421,1738407799.1264424
1252,424,1738407799.1336372
1245,427,1738407799.1400435
1237,431,1738407799.1470485
1229,434,1738407799.1537862
1221,439,1738407799.161278
1212,445,1738407799.1681707
1201,453,1738407799.1755161
1179,462,1738407799.1826007
1158,471,1738407799.1893702
1143,479,1738407799.1962316
1125,487,1738407799.2032592
1108,495,1738407799.2102706
1090,502,1738407799.2171552
1078,506,1738407799.2246017
1070,509,1738407799.231663
1056,514,1738407799.2386699
1037,519,1738407799.2455144
1024,523,1738407799.252377
1007,527,1738407799.2593887
983,531,1738407799.2663739
957,536,1738407799.2734737
925,544,1738407799.2807913
901,549,1738407799.287878
877,553,1738407799.2944827
861,557,1738407799.301423
838,560,1738407799.3084419
816,560,1738407799.31547
797,560,1738407799.3224306
779,558,1738407799.329895
767,557,1738407799.336943
748,553,1738407799.3439534
731,548,1738407799.3506021
720,544,1738407799.357617
709,538,1738407799.3641303
698,531,1738407799.371291
689,524,1738407799.3787146
683,517,1738407799.3860147
679,511,1738407799.3931556
677,506,1738407799.3997245
677,503,1738407799.406727
676,500,1738407799.4137468
676,493,1738407799.4206893
681,483,1738407799.4276383
696,463,1738407799.435137
722,441,1738407799.4421806
768,409,1738407799.4491935
818,381,1738407799.455841
868,359,1738407799.4628603
925,343,1738407799.4698758
984,333,1738407799.4768484
1036,325,1738407799.483954
1102,321,1738407799.4912267
1151,321,1738407799.4983659
1201,325,1738407799.5049365
1235,331,1738407799.5119154
1264,337,1738407799.5189857
1304,346,1738407799.5259438
1343,361,1738407799.532444
1384,376,1738407799.539728
1405,388,1738407799.546963
1434,402,1738407799.5537908
1457,411,1738407799.5605588
1474,419,1738407799.5675054
1498,431,1738407799.5749385
1524,443,1738407799.5814576
1549,454,1738407799.5887883
1562,458,1738407799.5963297
1580,466,1738407799.6032174
1591,471,1738407799.6101675
1598,474,1738407799.6164324
1603,476,1738407799.62432
1608,477,1738407799.630761
1612,477,1738407799.6381032
1615,477,1738407799.6451404
1618,477,1738407799.6521056
1618,477,1738407799.6592643
1618,477,1738407799.6657152
1619,477,1738407799.6788893
1619,477,1738407799.6870306
1619,474,1738407799.6947086
1616,468,1738407799.6966398
1605,454,1738407799.7081828
1582,433,1738407799.715033
